"SHA-1","FileName","FileSize","ProductCode","OpSystemCode","MD4","MD5","CRC32","SpecialCode"
"00D1034546F530D746131CE2A28A052DB21652EC","INFODESK.IC$",503,1,"WIN","00000000000000000000000000000000","2193697C470774EA58DA24B3BAC5FCDE","CABEC7CD",""
"00D1034546F530D746131CE2A28A052DB21652EC","infodesk.ico",503,1,"WIN","00000000000000000000000000000000","2193697C470774EA58DA24B3BAC5FCDE","CABEC7CD",""
"0112A29FCA80AA0C3E11BE010A3C920B14429508","LIVEUPDT.HC$",300,1,"WIN","00000000000000000000000000000000","12AB3D9F05EA172ADF76B9B5FF1E798F","7959EE80",""
"0112A29FCA80AA0C3E11BE010A3C920B14429508","liveupdt.hc!",300,1,"WIN","00000000000000000000000000000000","12AB3D9F05EA172ADF76B9B5FF1E798F","7959EE80",""
"01151FA9A2EFE38A7C2F5C22A45C0884A5325DF3","SDADMEXT.DL$",14041,1,"WIN","00000000000000000000000000000000","18B5A5872E31B5705D3B9D2D0F8B1977","11811CE6",""
"01151FA9A2EFE38A7C2F5C22A45C0884A5325DF3","sdadmext.dll",14041,1,"WIN","00000000000000000000000000000000","18B5A5872E31B5705D3B9D2D0F8B1977","11811CE6",""
"0AF261332E7ED10E4663D1A53167936ECDB23147","NDRVEX.DL$",18263,1,"WIN","00000000000000000000000000000000","41BF67637FFD3645A3BF4911484EFB7D","1CF4DA0A",""
"0AF261332E7ED10E4663D1A53167936ECDB23147","ndrvex.dll",18263,1,"WIN","00000000000000000000000000000000","41BF67637FFD3645A3BF4911484EFB7D","1CF4DA0A",""
"0D31E1BCBB25AA1DF703647052B18577F1C8BC6E","SIWDLL32.DL_",46136,1,"WIN","00000000000000000000000000000000","41F612D43E62EAD2FF6998E1CD8F163F","DAEF7BAD",""
"10BD046B1EFC6ABAEBDF8EA9139D051E187B7C74","SUNSET.BM$",52942,1,"WIN","00000000000000000000000000000000","B219A1D70678324E99EE8E1173EE7F92","7B998C44",""
"10BD046B1EFC6ABAEBDF8EA9139D051E187B7C74","sunset.bm!",52942,1,"WIN","00000000000000000000000000000000","B219A1D70678324E99EE8E1173EE7F92","7B998C44",""
"129939179A1CE59C3B84C8B4DD17C9E3BE05686E","SDGLU.DL$",16874,1,"WIN","00000000000000000000000000000000","02EFC6BFB11CB0F9B512DBB1C6A49FB5","811695BA",""
"129939179A1CE59C3B84C8B4DD17C9E3BE05686E","sdglu.dll",16874,1,"WIN","00000000000000000000000000000000","02EFC6BFB11CB0F9B512DBB1C6A49FB5","811695BA",""
